City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,santa cecilia,-26.9608,-50.4269,11.3,81,1,0.84,BR,1686261537
328,tapes,-30.6733,-51.3958,20.19,73,1,2.06,BR,1686261538
329,naliya,23.2667,68.8333,27.93,81,8,6.16,IN,1686261538
330,tafuna,-14.3358,-170.72,28.05,77,79,4.63,AS,1686261538
331,aioun,16.6614,-9.6149,36.41,12,100,3.66,MR,1686261538
332,puerto deseado,-47.7503,-65.8938,4.27,95,91,12.65,AR,1686261538
333,basco,20.4487,121.9702,27.47,78,6,2.92,PH,1686261539
334,cambria,35.5641,-121.0808,28.41,82,44,3.13,US,1686261539
335,bakchar,57.0186,82.0711,15.41,97,100,2.47,RU,1686261539
336,yarkovo,57.4028,67.0786,11.15,73,67,2.22,RU,1686261539
337,ust-tsilma,65.441,52.1498,3.58,72,44,2.63,RU,1686261539
338,cold springs,39.6802,-119.9766,23.81,46,20,9.26,US,1686261540
339,guarapari,-20.6667,-40.4975,21.61,84,0,3.15,BR,1686261361
340,egersund,58.4513,5.9997,10.6,78,25,2.85,NO,1686261540
341,nuku'alofa,-21.1333,-175.2,24.19,88,100,3.09,TO,1686261540
342,filipstad,59.7124,14.1683,12.33,50,30,3.69,SE,1686261541
343,acarau,-2.8856,-40.12,26.45,83,7,5.97,BR,1686261541
344,porto novo,6.4965,2.6036,26.9,80,100,1.12,BJ,1686261542
345,amatitan,20.8333,-103.7167,35.93,5,46,4.17,MX,1686261542
346,al karamah,31.9522,35.5792,33.32,28,71,1.16,JO,1686261542
347,vakarai,55.6035,23.8213,15.29,70,37,1.93,LT,1686261542
348,eraan,9.0629,117.7016,26.0,85,28,2.56,PH,1686261543
349,manismata,-2.4667,111.0333,22.31,99,92,1.26,ID,1686261543
350,nagqu,31.5,92.0,4.19,76,82,2.86,CN,1686261543
351,afaahiti,-17.75,-149.2833,27.93,69,73,8.22,PF,1686261543
352,ankang,32.68,109.0172,19.48,87,15,0.86,CN,1686261543
353,crane,31.3974,-102.3501,33.99,16,5,1.57,US,1686261544
354,undurkhaan,47.3194,110.6556,12.15,55,94,2.31,MN,1686261544
355,earlimart,35.8841,-119.2723,27.95,46,75,2.57,US,1686261544
356,namibe,-15.1961,12.1522,18.67,76,0,3.09,AO,1686261544
357,gisborne,-38.6533,178.0042,14.18,75,22,5.65,NZ,1686261545
358,jonava,55.0833,24.2833,14.03,79,0,0.51,LT,1686261545
359,ad dawadimi,24.5077,44.3924,28.64,10,14,4.19,SA,1686261545
360,san sebastian de la gomera,28.0916,-17.1133,22.43,78,0,2.57,ES,1686261545
361,soufriere,13.8562,-61.0566,29.81,79,40,8.23,LC,1686261545
362,argo,37.6333,22.7333,22.66,67,31,0.64,GR,1686261462
363,champerico,14.3,-91.9167,33.3,68,53,5.22,GT,1686261474
364,tarauaca,-8.1614,-70.7656,25.4,94,78,0.62,BR,1686261546
